,"honasan ii, gregorio b","poe, grace l","de lima, leila m","recto, ralph g","aquino iv, paolo benigno bam","angara, juan edgardo sonny m","lacson, panfilo m","cayetano, alan peter companero s","drilon, franklin m","zubiri, juan miguel f","legarda, loren b","gatchalian, sherwin t","trillanes, antonio sonny f","sotto iii, vicente c","gordon, richard j","ejercito, joseph victor g","villar, cynthia a","hontiveros, risa","villanueva, joel","escudero, francis chiz g","binay, maria lourdes nancy s","pangilinan, francis n","pacquiao, emmanuel manny d","pimentel, aquilino koko iii l"
"honasan ii, gregorio b",0.0,11.0,7.0,5.0,10.0,11.0,8.0,1.0,7.0,12.0,12.0,10.0,8.0,11.0,8.0,10.0,7.0,9.0,11.0,4.0,7.0,4.0,6.0,4.0
"poe, grace l",11.0,0.0,19.0,13.0,15.0,22.0,10.0,3.0,11.0,18.0,24.0,18.0,15.0,12.0,16.0,24.0,13.0,19.0,32.0,8.0,14.0,5.0,7.0,7.0
"de lima, leila m",7.0,19.0,0.0,9.0,18.0,24.0,7.0,3.0,10.0,14.0,27.0,14.0,16.0,11.0,12.0,22.0,14.0,25.0,26.0,8.0,16.0,7.0,5.0,8.0
"recto, ralph g",5.0,13.0,9.0,0.0,14.0,16.0,7.0,2.0,10.0,14.0,14.0,22.0,6.0,9.0,14.0,20.0,21.0,11.0,34.0,4.0,9.0,6.0,7.0,4.0
"aquino iv, paolo benigno bam",10.0,15.0,18.0,14.0,0.0,25.0,10.0,2.0,9.0,25.0,29.0,22.0,11.0,11.0,17.0,23.0,19.0,17.0,36.0,11.0,13.0,9.0,7.0,11.0
"angara, juan edgardo sonny m",11.0,22.0,24.0,16.0,25.0,0.0,14.0,4.0,15.0,28.0,39.0,27.0,24.0,14.0,21.0,32.0,16.0,23.0,42.0,12.0,21.0,7.0,13.0,10.0
"lacson, panfilo m",8.0,10.0,7.0,7.0,10.0,14.0,0.0,0.0,8.0,13.0,13.0,10.0,11.0,8.0,13.0,10.0,9.0,8.0,17.0,6.0,5.0,4.0,8.0,4.0
"cayetano, alan peter companero s",1.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,4.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0
"drilon, franklin m",7.0,11.0,10.0,10.0,9.0,15.0,8.0,1.0,0.0,14.0,13.0,15.0,9.0,11.0,10.0,17.0,9.0,13.0,13.0,4.0,9.0,4.0,7.0,6.0
"zubiri, juan miguel f",12.0,18.0,14.0,14.0,25.0,28.0,13.0,3.0,14.0,0.0,32.0,30.0,18.0,15.0,28.0,29.0,24.0,16.0,32.0,12.0,18.0,6.0,13.0,14.0
"legarda, loren b",12.0,24.0,27.0,14.0,29.0,39.0,13.0,3.0,13.0,32.0,0.0,31.0,32.0,15.0,27.0,28.0,24.0,21.0,43.0,15.0,27.0,9.0,11.0,10.0
"gatchalian, sherwin t",10.0,18.0,14.0,22.0,22.0,27.0,10.0,2.0,15.0,30.0,31.0,0.0,12.0,14.0,24.0,29.0,27.0,19.0,38.0,12.0,18.0,4.0,15.0,15.0
"trillanes, antonio sonny f",8.0,15.0,16.0,6.0,11.0,24.0,11.0,2.0,9.0,18.0,32.0,12.0,0.0,12.0,13.0,17.0,8.0,14.0,20.0,12.0,13.0,7.0,10.0,6.0
"sotto iii, vicente c",11.0,12.0,11.0,9.0,11.0,14.0,8.0,0.0,11.0,15.0,15.0,14.0,12.0,0.0,15.0,15.0,10.0,12.0,17.0,7.0,11.0,3.0,9.0,8.0
"gordon, richard j",8.0,16.0,12.0,14.0,17.0,21.0,13.0,1.0,10.0,28.0,27.0,24.0,13.0,15.0,0.0,24.0,21.0,12.0,25.0,6.0,13.0,4.0,10.0,13.0
"ejercito, joseph victor g",10.0,24.0,22.0,20.0,23.0,32.0,10.0,4.0,17.0,29.0,28.0,29.0,17.0,15.0,24.0,0.0,22.0,22.0,42.0,13.0,24.0,6.0,14.0,13.0
"villar, cynthia a",7.0,13.0,14.0,21.0,19.0,16.0,9.0,2.0,9.0,24.0,24.0,27.0,8.0,10.0,21.0,22.0,0.0,11.0,29.0,8.0,14.0,6.0,12.0,10.0
"hontiveros, risa",9.0,19.0,25.0,11.0,17.0,23.0,8.0,2.0,13.0,16.0,21.0,19.0,14.0,12.0,12.0,22.0,11.0,0.0,28.0,7.0,20.0,8.0,10.0,7.0
"villanueva, joel",11.0,32.0,26.0,34.0,36.0,42.0,17.0,4.0,13.0,32.0,43.0,38.0,20.0,17.0,25.0,42.0,29.0,28.0,0.0,19.0,24.0,7.0,13.0,9.0
"escudero, francis chiz g",4.0,8.0,8.0,4.0,11.0,12.0,6.0,2.0,4.0,12.0,15.0,12.0,12.0,7.0,6.0,13.0,8.0,7.0,19.0,0.0,10.0,3.0,5.0,4.0
"binay, maria lourdes nancy s",7.0,14.0,16.0,9.0,13.0,21.0,5.0,0.0,9.0,18.0,27.0,18.0,13.0,11.0,13.0,24.0,14.0,20.0,24.0,10.0,0.0,4.0,9.0,8.0
"pangilinan, francis n",4.0,5.0,7.0,6.0,9.0,7.0,4.0,1.0,4.0,6.0,9.0,4.0,7.0,3.0,4.0,6.0,6.0,8.0,7.0,3.0,4.0,0.0,5.0,4.0
"pacquiao, emmanuel manny d",6.0,7.0,5.0,7.0,7.0,13.0,8.0,0.0,7.0,13.0,11.0,15.0,10.0,9.0,10.0,14.0,12.0,10.0,13.0,5.0,9.0,5.0,0.0,6.0
"pimentel, aquilino koko iii l",4.0,7.0,8.0,4.0,11.0,10.0,4.0,0.0,6.0,14.0,10.0,15.0,6.0,8.0,13.0,13.0,10.0,7.0,9.0,4.0,8.0,4.0,6.0,0.0
